United Nations;International Civil Aviation Organization;ICAO
Afghanistan;Ministry of Transport and Civil Aviation;MoTCA
Albania;Albanian Civil Aviation Authority;ACAA
Algeria;Directorate of Civil Aviation and Meteorology;DCAM
Angola;National Civil Aviation Institute;NCAI
Argentina;National Civil Aviation Administration;NCAA
Armenia;General Department of Civil Aviation of Armenia;GDCAA
Aruba;Department of Civil Aviation of Aruba;DCAA
Australia;Civil Aviation Safety Authority;CASA
Austria;Federal Ministry for Transport, Innovation and Technology;FMTIT
Bahamas;Department of Civil Aviation of Bahamas;DCAB
Bahrain;Department of Civil Aviation Affairs;DCAA
Bangladesh;Civil Aviation Authority, Bangladesh;CAAB
Barbados;Civil Aviation Department of Barbados;BCAD
Belarus;Aviation Department of Belarus;ADB
Belgium;Federal Public Service Mobility and Transport;FPSMT
Benin;National Civil Aviation Agency;ANAC
Bermuda;Bermuda Department of Civil Aviation;BCAA
Bhutan;Bhutan Civil Aviation Authority;BCAA
Bolivia;General Directorate of Civil Aviation of Bolivia;DGAC
Bosnia and Herzegovina;Bosnia and Herzegovina Directorate of Civil Aviation;BHDCA
Botswana;Department of Civil Aviation of Botswana;CAB
Brazil;National Civil Aviation Agency of Brazil;ANAC
Brunei;Department of Civil Aviation of Brunei;CAB
Bulgaria;Directorate General Civil Aviation Administration;CAA
Cambodia;Secretariat of State for Civil Aviation;SSCA
Cameroon;Cameroon Civil Aviation Authority;CCAA
Cayman Islands;Civil Aviation Authority of the Cayman Islands;CAAC
Chile;Directorate General of Civil Aviation;DGAC
China;Civil Aviation Administration of China;CAAC
Colombia;Special Administrative Unit of Civil Aeronautics;CAAC
Cook Islands;Pacific Aviation Safety Office;PASO
Costa Rica;Directorate General of Civil Aviation of Costa Rica;
Croatia;Croatian Civil Aviation Agency;CCAA
Cuba;Institute of Civil Aeronautics of Cuba;IACC
Cyprus;Department of Civil Aviation of Cyprus;DCA
Czech Republic;Civil Aviation Authority of the Czech Republic;CAAC
Denmark;Danish Transport Authority;DTA
Dominican Republic;Dominican Institute of Civil Aviation;IDAC
Ecuador;Directorate General of Civil Aviation of Ecuador;DGAC
Egypt;Ministry of Civil Aviation of Egypt;MCA
El Salvador;Civil Aviation Authority of El Salvador;AAC
Estonia;Estonian Civil Aviation Administration;ECAA
European Union;European Aviation Safety Agency;EASA
Fiji;Civil Aviation Authority of Fiji;CAAF
Finland;Finnish Transport Safety Agency;FTSA
France;Directorate General for Civil Aviation;DGAC
Gabon;National Civil Aviation Agency;ANAC
Gambia;Gambia Civil Aviation Authority;GCAA
Georgia;Georgian Civil Aviation Agency;GCAA
Germany;Federal Office for Civil Aviation of Germany;LBA
Ghana;Ghana Civil Aviation Authority;GCAA
Greece;Hellenic Civil Aviation Authority;HCAA
Guatemala;Directorate General of Civil Aviation of Guatemala;DGAC
Guyana;Guyana Civil Aviation Authority;GCAA
Hong Kong;Civil Aviation Department;CAD
Iceland;Icelandic Transport Authority;ITA
India;Directorate General of Civil Aviation;DGCA
Indonesia;Directorate General of Civil Aviation;
Iran;Civil Aviation Organisation of Iran;CAO.IRI
Iraq;Directorate General of Civil Aviation of Iraq;ICAA
Ireland;Irish Aviation Authority;IAA
Israel;Civil Aviation Authority;CAAI
Isle of Man;Isle of Man Aircraft Registry;IOMAR
Italy;National Agency for Civil Aviation;ENAC
Jamaica;Jamaica Civil Aviation Authority;JCAA
 Japan;Japan Civil Aviation Bureau;JCAB
